LID,input,district,temperature,salinity,lat,lon,code
1,1,HKD,21.5,29.9,45.52272,141.9357,C0793-CREST-HUA-0090_S43
2,1,HKD,18.5,29.9,45.34088,142.17,C0794-CREST-HUA-0092_S44
3,1,HKD,19.4,28.5,44.96068,142.58437,C0795-CREST-HUA-0095_S45
4,1,HKD,18,30.1,44.62452,142.93251,C0796-CREST-HUA-0097_S46
5,1,HKD,21.2,29.2,44.35492,143.36415,C0797-CREST-HUA-0099_S47
6,1,HKD,13.9,32,44.22595,143.6368,C0337-CREST-HUA-0012_S31
7,1,HKD,16,32.1,44.10181,144.21619,C0338-CREST-HUA-0014_S32
8,1,HKD,12.2,30.5,43.93538,144.45198,C0339-CREST-HUA-0016_S33
9,1,HKD,18.4,29.7,44.06702,144.97983,C0344-CREST-HUA-0028_S38
10,1,HKD,12.7,25.6,44.20023,145.19666,C0343-CREST-HUA-0026_S37
11,1,HKD,8.9,29.7,44.19734,145.33281,C0342-CREST-HUA-0023_S36
12,1,HKD,10.2,28.7,43.95301,145.13251,C0341-CREST-HUA-0021_S35
13,1,HKD,11.1,27.7,43.654,145.13622,C0340-CREST-HUA-0019_S34
14,1,HKD,20,27.7,43.38962,145.287297,C0355-CREST-HUA-0054_S49
15,1,HKD,16.8,29.2,43.385558,145.815381,C0356-CREST-HUA-0056_S50
16,1,HKD,14.8,29.5,43.203107,145.527761,C0357-CREST-HUA-0058_S51
17,1,HKD,15.5,29.5,43.075088,145.151099,C0787-CREST-HUA-0068_S37
18,1,HKD,20.5,29.6,43.004815,144.858993,C0785-CREST-HUA-0063_S35
19,1,HKD,16.8,28.7,42.949902,144.523937,C0786-CREST-HUA-0065_S36
20,1,HKD,21.1,28.9,42.807761,143.82253,C0788-CREST-HUA-0070_S38
21,1,HKD,16.5,28.8,42.285565,143.322509,C0345-CREST-HUA-0031_S39
22,1,HKD,17.9,27.5,42.11855,143.31935,C0346-CREST-HUA-0033_S40
23,1,HKD,11.7,33.1,41.92549,143.2498,C0347-CREST-HUA-0035_S41
