Sample_ID,Sample_Name2,Description,date,plot,sample_nc,filt045_ml,filt022_ml,Prok_dada2_input,Prok_dada2_prop,Prok_STD_all,Prok_NonSTD_all,Prok_STD_prop,Prok_STD_r2,Prok_STD_coef,Prok_dna_copy_sum,Fungi_dada2_input,Fungi_dada2_prop,Fungi_STD_all,Fungi_NonSTD_all,Fungi_STD_prop,Fungi_STD_r2,Fungi_STD_coef,Fungi_dna_copy_sum,Inv_dada2_input,Inv_dada2_prop,Inv_STD_all,Inv_NonSTD_all,Inv_STD_prop,Inv_STD_r2,Inv_STD_coef,Inv_dna_copy_sum,Euk_dada2_input,Euk_dada2_prop,Euk_STD_all,Euk_NonSTD_all,Euk_STD_prop,Euk_STD_r2,Euk_STD_coef,Euk_dna_copy_sum
S002,S002,P1-5_24,2017/05/24,1,sample,200,30,8408,0.875356803,1631,5729,0.221603261,0.9762471,0.009546038,2000480.953,41701,0.781252248,6505,26074,0.199668498,0.987107997,8.781603774,9897.205063,3157,0.972758948,1517,1554,0.493975904,0.927610514,4.820790216,161.1768953,10957,0.989686958,1165,9679,0.107432682,0.987215746,0.063091251,511375.7095
S003,S003,P1-5_25,2017/05/25,1,sample,200,30,9692,0.86091622,1416,6928,0.16970278,0.981593507,0.00820566,2814317.468,57833,0.837843446,6321,42134,0.130450934,0.992657602,8.826603774,15911.7448,4822,0.972210701,3884,804,0.828498294,0.950972559,10.75484478,37.3785032,18943,0.994087526,689,18142,0.036588604,0.973870537,0.037277516,1622246.841
S004,S004,P1-5_26,2017/05/26,1,sample,200,30,9853,0.719983761,1676,5418,0.236255991,0.986477813,0.009586038,1883990.08,31769,0.856306462,8140,19064,0.299220703,0.982111705,11.30792453,5619.657834,6196,0.982408005,2217,3870,0.364218827,0.908990253,6.135841957,315.3601435,18965,0.994305299,1799,17058,0.095402238,0.994486729,0.096664158,588222.1617
S005,S005,P1-5_27,2017/05/27,1,sample,200,30,12683,0.945596468,5663,6330,0.472192112,0.98424232,0.032104151,657235.8832,30160,0.881001326,12504,14067,0.470588235,0.989186344,17.63188679,2659.386403,2896,0.983770718,1628,1221,0.571428571,0.937948854,4.512605833,135.2876858,18667,0.995232228,288,18290,0.015502207,0.998026897,0.015047977,4051485.788
S006,S006,P1-5_28,2017/05/28,1,sample,70,30,14024,0.949443811,8091,5224,0.607660533,0.986518599,0.046112075,377630.6565,33215,0.869065181,17999,10867,0.62353634,0.99089313,24.98462264,1449.825113,25023,0.98257603,9016,15571,0.366697848,0.917607676,23.48325494,947.2403111,23717,0.995910107,335,23285,0.014182896,0.96689752,0.019021637,4080440.983
S007,S007,P1-5_29,2017/05/29,1,sample,100,30,12795,0.883313794,6235,5067,0.55167227,0.983903536,0.035371698,477500.4001,12000,0.823583333,7013,2870,0.709602347,0.974598179,10.03858491,952.9895654,21915,0.985900068,4313,17293,0.199620476,0.947414952,11.83292568,1461.430627,NA,NA,0,0,NA,NA,0,2811593.032
S008,S008,P1-5_30,2017/05/30,1,sample,100,30,14604,0.90502602,5706,7511,0.431716728,0.985223311,0.032681509,766080.4871,13693,0.865478712,8331,3520,0.702978652,0.99633624,11.24679245,1043.260412,22973,0.984982371,2382,20246,0.10526781,0.951654389,6.761900282,2994.128744,22102,0.996878111,845,21188,0.038351564,0.993604837,0.045779868,1542745.082
S009,S009,P1-5_31,2017/05/31,1,sample,100,30,9069,0.900981365,3930,4241,0.480969282,0.972021382,0.023144906,610789.5566,20381,0.846425592,10605,6646,0.614746971,0.961555313,15.20462264,1457.013032,19116,0.988648253,3369,15530,0.1782634,0.937699941,9.023894638,1720.986406,26885,0.99352799,1862,24849,0.069709109,0.999692511,0.09790969,845983.6853
S010,S010,P1-6_1,2017/06/01,1,sample,100,30,8933,0.90921303,3344,4778,0.411721251,0.987336087,0.019151321,831622.3654,26510,0.804526594,8486,12842,0.39788072,0.993588643,11.59707547,3691.16048,17225,0.986357039,1429,15561,0.084108299,0.8874409,3.867826905,4023.189347,25926,0.994060017,648,25124,0.025143567,0.995132573,0.034476011,2429128.647
S011,S011,P1-6_2,2017/06/02,1,sample,100,30,10204,0.784496276,3216,4789,0.401748907,0.969720392,0.018883019,845380.3624,39610,0.740999748,5511,23840,0.187761916,0.99703259,7.553018868,10521.17942,15368,0.983927642,3611,11510,0.238806957,0.960940013,10.26989652,1120.751312,27196,0.991138403,1145,25810,0.042478204,0.999866467,0.060483537,1422425.628
