city,id,Isumi,Inzai,Kamogawa,Tateyama,Kyonan,Kimitsu,Onjuku,Ichihara,Katsuura,Sodegaura,Otaki,Chonan,Nagara,Minami-boso,Futtsu,Mutsuzawa,Mobara,Kisarazu
Isumi,0,,,,,,,7547.750969,,6104.661548,,10412.44317,,,,,9788.236587,,
Inzai,3,,,,,,,,,,,,,,,,,,
Kamogawa,9,,,,,703.938138,21473.5958,,,9695.545423,,4979.962338,,,16351.2649,7138.853193,,,
Tateyama,10,,,,,,,,,,,,,,38661.66676,,,,
Kyonan,11,,,703.938138,,,,,,,,,,,10264.53726,13063.51441,,,
Kimitsu,13,,,21473.5958,,,,,15562.17752,,,7054.475586,,,,29351.43274,,,26658.69354
Onjuku,14,7547.750969,,,,,,,,10147.55583,,,,,,,,,
Ichihara,19,,,,,,15562.17752,,,,2423.346569,19102.23457,10165.52441,12809.83616,,,,742.344574,11250.59636
Katsuura,24,6104.661548,,9695.545423,,,,10147.55583,,,,17574.50902,,,,,,,
Sodegaura,31,,,,,,,,2423.346569,,,,,,,,,,12862.15972
Otaki,33,10412.44317,,4979.962338,,,7054.475586,,19102.23457,17574.50902,,,1865.481056,,,,3661.623406,,
Chonan,37,,,,,,,,10165.52441,,,1865.481056,,4156.909793,,,9756.71815,8855.97297,
Nagara,38,,,,,,,,12809.83616,,,,4156.909793,,,,,5318.039379,
Minami-boso,41,,,16351.2649,38661.66676,10264.53726,,,,,,,,,,,,,
Futtsu,47,,,7138.853193,,13063.51441,29351.43274,,,,,,,,,,,,
Mutsuzawa,49,9788.236587,,,,,,,,,,3661.623406,9756.71815,,,,,2009.799851,
Mobara,50,,,,,,,,742.344574,,,,8855.97297,5318.039379,,,2009.799851,,
Kisarazu,51,,,,,,26658.69354,,11250.59636,,12862.15972,,,,,,,,
