city,id,area,all_forest,brl_forest,forest_edge,urban,field,orchard,abandoned,bamboo
Isumi,0,157.129,72.541,48.337,0.842,22.007,1.526,0.527,1.753,0.581
Inzai,3,123.743,20.758,8.179,0.761,24.401,5.178,0.678,2.167,4.088
Kamogawa,9,191.319,126.351,67.017,0.901,12.144,1.12,0.218,1.451,3.54
Tateyama,10,109.919,50.332,37.948,0.656,18.281,2.221,0.221,1.206,0.896
Kyonan,11,45.024,27.131,21.4,0.338,3.822,0.678,0.053,0.307,0.857
Kimitsu,13,318.6,195.139,119.086,1.471,26.089,2.581,0.88,1.627,9.035
Onjuku,14,24.8,13.617,10.915,0.162,4.716,0.844,0.006,0.274,0.045
Ichihara,19,367.817,141.185,90.835,2.707,64.205,5.066,1.104,3.373,10.406
Katsuura,24,94.121,60.152,38.63,0.642,10.28,0.557,0.045,1.059,1.565
Sodegaura,31,95.092,20.252,13.181,0.553,16.995,5.168,0.223,0.855,1.668
Otaki,33,129.788,91.738,56.727,0.819,5.567,0.449,0.292,0.882,5.923
Chonan,37,65.37,33.447,21.217,0.654,5.934,0.57,0.019,1.127,2.086
Nagara,38,47.032,22.45,14.256,0.525,3.716,1.079,0.07,0.832,2.542
Minami-boso,41,230.366,131.857,74.102,1.401,17.98,4.923,1.872,1.937,5.337
Futtsu,47,205.333,119.649,82.188,1.078,19.011,1.81,0.165,2.119,4.163
Mutsuzawa,49,35.574,16.25,10.288,0.273,5.056,0.511,0.022,0.5,0.05
Mobara,50,100.046,20.678,13.405,0.507,36.358,4.174,0.199,2.257,0.016
Kisarazu,51,138.49,40.741,25.908,0.685,34.839,2.13,0.719,1.13,4.432
